frequency,weight,count,label
2,0.35714285714285715,560,0
2,0.35714285714285715,560,0
6,1.0714285714285714,560,0
6,1.0714285714285714,560,0
3,0.5357142857142857,560,0
3,0.5357142857142857,560,0
3,0.5357142857142857,560,0
12,2.142857142857143,560,0
7,1.25,560,0
9,1.607142857142857,560,0
6,1.0714285714285714,560,0
2,0.35714285714285715,560,0
7,1.25,560,0
3,0.5357142857142857,560,0
4,0.7142857142857143,560,0
2,0.35714285714285715,560,0
16,2.857142857142857,560,0
6,1.0714285714285714,560,0
11,1.9642857142857142,560,0
3,0.5357142857142857,560,0
10,1.7857142857142856,560,0
8,1.4285714285714286,560,0
4,0.7142857142857143,560,0
5,0.8928571428571428,560,0
2,0.35714285714285715,560,0
5,0.8928571428571428,560,0
17,3.0357142857142856,560,0
3,0.5357142857142857,560,0
8,1.4285714285714286,560,0
25,4.464285714285714,560,0
4,0.7142857142857143,560,0
4,0.7142857142857143,560,0
5,0.8928571428571428,560,0
5,0.8928571428571428,560,0
6,1.0714285714285714,560,0
12,2.142857142857143,560,0
3,0.5357142857142857,560,0
5,0.8928571428571428,560,0
7,1.25,560,0
2,0.35714285714285715,560,0
5,0.8928571428571428,560,0
3,0.5357142857142857,560,0
2,0.35714285714285715,560,0
4,0.7142857142857143,560,0
10,1.7857142857142856,560,0
3,0.5357142857142857,560,0
2,0.35714285714285715,560,0
2,0.35714285714285715,560,0
2,0.35714285714285715,560,0
3,0.5357142857142857,560,0
11,1.9642857142857142,560,0
15,2.6785714285714284,560,0
7,1.25,560,0
14,2.5,560,0
3,0.5357142857142857,560,0
3,0.5357142857142857,560,0
7,1.25,560,0
7,1.25,560,0
2,0.35714285714285715,560,0
7,1.25,560,0
4,0.7142857142857143,560,0
3,0.5357142857142857,560,0
2,0.35714285714285715,560,0
7,1.25,560,0
7,0.6404391582799633,1093,0
2,0.18298261665141813,1093,0
4,0.36596523330283626,1093,0
2,0.18298261665141813,1093,0
3,0.2744739249771272,1093,0
2,0.18298261665141813,1093,0
2,0.18298261665141813,1093,0
3,0.2744739249771272,1093,0
3,0.2744739249771272,1093,0
5,0.4574565416285453,1093,0
2,0.18298261665141813,1093,0
2,0.18298261665141813,1093,0
3,0.2744739249771272,1093,0
4,0.36596523330283626,1093,0
10,0.9149130832570906,1093,0
